sample_name	classification	genome_equivalents	percentage	depth	filter size (um)	cell_state	binned_depth
KJ_103_104	HL	0.0501774268834137	3.178861645308552	150.0	0.2	Free-living	150
KJ_103_104	LL	1.381353900281361	87.51211859477183	150.0	0.2	Free-living	150
KJ_103_104	unclassified	0.1469402290750786	9.309019759919615	150.0	0.2	Free-living	150
KJ_105	HL	0.0021730381721162	43.10154525386413	300.0	20.0	Particle-bound	300
KJ_105	LL	0.0023733694760755997	47.07505518763715	300.0	20.0	Particle-bound	300
KJ_105	unclassified	0.0004952635014554	9.823399558498712	300.0	20.0	Particle-bound	300
KJ_106_107	HL	0.047667720825476496	74.06190558533655	300.0	20.0	Particle-bound	300
KJ_106_107	LL	0.008775624065115	13.63479163064133	300.0	20.0	Particle-bound	300
KJ_106_107	unclassified	0.0079186512648439	12.303302784022133	300.0	20.0	Particle-bound	300
KJ_108	HL	0.0001252070649746	3.1757233592074807	300.0	5.0	Particle-bound	300
KJ_108	LL	0.0035364039907294998	89.69654199012268	300.0	5.0	Particle-bound	300
KJ_108	unclassified	0.0002810203013876	7.12773465066985	300.0	5.0	Particle-bound	300
KJ_109_110	HL	0.006460684552694	65.35322262876659	300.0	5.0	Particle-bound	300
KJ_109_110	LL	0.0025876126761434	26.17506332676504	300.0	5.0	Particle-bound	300
KJ_109_110	unclassified	0.0008374961457194563	8.471714044468365	300.0	5.0	Particle-bound	300
KJ_111	HL	0.0022119914812194	24.945089425791885	300.0	1.2	Free-living	300
KJ_111	LL	0.0056287531654176	63.47662378412407	300.0	1.2	Free-living	300
KJ_111	unclassified	0.0010266979327923568	11.578286790084043	300.0	1.2	Free-living	300
KJ_112_113	HL	0.0026683016735717	31.005496281926742	300.0	1.2	Free-living	300
KJ_112_113	LL	0.004535278131305457	52.6996443582287	300.0	1.2	Free-living	300
KJ_112_113	unclassified	0.0014023191277165	16.29485935984455	300.0	1.2	Free-living	300
KJ_117	HL	0.0103560154630178	84.99657456040218	1000.0	20.0	Particle-bound	1000
KJ_117	LL	0.0002225903377327556	1.8269011189767037	1000.0	20.0	Particle-bound	1000
KJ_117	unclassified	0.0016054328108977	13.17652432062112	1000.0	20.0	Particle-bound	1000
KJ_118_119	HL	0.08949522766468919	81.92191121412034	1000.0	20.0	Particle-bound	1000
KJ_118_119	LL	0.0061907937681930005	5.666912869622654	1000.0	20.0	Particle-bound	1000
KJ_118_119	unclassified	0.0135585339471484	12.411175916257005	1000.0	20.0	Particle-bound	1000
KJ_120	HL	0.0070950670152325	72.69099201824618	1000.0	5.0	Particle-bound	1000
KJ_120	LL	0.0009320970392558	9.549600912198569	1000.0	5.0	Particle-bound	1000
KJ_120	unclassified	0.001733422255094	17.75940706955524	1000.0	5.0	Particle-bound	1000
KJ_121_122	HL	0.0026961254657883	72.85714285714621	1000.0	5.0	Particle-bound	1000
KJ_121_122	LL	0.0004090097455839	11.05263157894562	1000.0	5.0	Particle-bound	1000
