sample_name	cell_state	depth	binned_depth	Total Classified Read	Prochlorococcus	Pro/Syn Ratio	Pro Abundance	Pro/Syn Ratio Condition	Pro Abundance Condition	Pro Count Condition	Sample Pass
SRR9178157	Free-living	45.0	45	13347618.0	4671617.0	115.30301609240794	0.3499963064570772	True	True	True	True
SRR9178158	Free-living	150.0	150	14354978.0	3167977.0	87.91144966144967	0.22068839116298192	True	True	True	True
KJ51	Free-living	300.0	300	790230.0	1343.0	3.25181598062954	0.0016995052073446972	True	False	False	False
SRR9178159	Free-living	5.0	5	10805845.0	3734768.0	72.73727262104155	0.34562479843084926	True	True	True	True
SRR9178148	Free-living	225.0	300	11166472.0	58736.0	14.129420254991581	0.005260031995781658	True	True	True	True
SRR9178084	Free-living	500.0	1000	9651665.0	20417.0	8.235982250907623	0.0021153863089943548	True	False	False	False
SRR9178147	Free-living	100.0	150	7586563.0	1905745.0	164.79980975441023	0.25120004935041074	True	True	True	True
SRR9178146	Free-living	25.0	45	3327929.0	1216972.0	155.0875493819294	0.36568448425432154	True	True	True	True
KJ7980	Free-living	5.0	5	2755028.0	764679.0	105.16833998074543	0.2775576146594517	True	True	True	True
SRR9178113	Free-living	150.0	150	6451382.0	305705.0	22.402535541550638	0.04738597094390008	True	True	True	True
SRR9178114	Free-living	250.0	300	8493204.0	38027.0	15.458130081300814	0.004477344474476299	True	True	False	True
KJ78	Free-living	5.0	5	3218405.0	491554.0	14.434545134198626	0.15273217634200792	True	True	True	True
SRR9178115	Free-living	150.0	150	13737498.0	646096.0	22.58524137448876	0.0470315628071429	True	True	True	True
SRR9178117	Free-living	100.0	150	12995717.0	4351523.0	67.75012844665183	0.33484285630411925	True	True	True	True
KJ7677	Free-living	5.0	5	363301.0	37858.0	37.971915747241724	0.10420560361793664	True	True	False	True
SRR9178118	Free-living	500.0	1000	7230307.0	15899.0	8.95213963963964	0.002198938440649892	True	False	False	False
SRR9178119	Free-living	125.0	150	12958358.0	1395206.0	30.007011355815553	0.10766842527425156	True	True	True	True
KJ75	Free-living	5.0	5	482868.0	37146.0	15.4068851099129	0.07692785606004125	True	True	False	True
SRR9178141	Free-living	100.0	150	3421929.0	859108.0	162.46369137670197	0.2510595631878978	True	True	True	True
SRR9178142	Free-living	25.0	45	7431458.0	2731948.0	153.57513069874642	0.3676193823607696	True	True	True	True
KJ7374	Particle-bound	5.0	5	141082.0	22642.0	42.48030018761726	0.1604882267050368	True	True	False	True
SRR9178143	Free-living	25.0	45	9594492.0	3407335.0	158.7686967056521	0.3551344875789151	True	True	True	True
SRR9178144	Free-living	225.0	300	9254054.0	36295.0	15.732553099263113	0.003922064859357855	True	True	False	True
KJ72	Particle-bound	5.0	5	134844.0	6627.0	1.3538304392236977	0.04914567945181098	True	True	False	True
SRR9178145	Free-living	25.0	45	12443392.0	3721034.0	110.24632614363593	0.29903695069640174	True	True	True	True
KJ69	Particle-bound	5.0	5	627571.0	23513.0	9.83396068590548	0.03746667707717533	True	True	False	True
