sample_name	depth	filter size (um)	cell_state	binned_depth	total_classified	pro_percent_in_community
SRR23969138	770.0	0.2	Free-living	1000	1182921.0	1.6336678442600985
SRR23969152	100.0	0.2	Free-living	150	9998035.0	75.66045727985549
SRR15713232	150.0	20.0	Particle-bound	150	3883256.0	7.229422937864513
SRR23969153	100.0	0.2	Free-living	150	3887531.0	63.755504457713656
SRR23969154	1000.0	0.2	Free-living	1000	1176846.0	1.480907442435119
KJ_58_59	1000.0	20.0	Particle-bound	1000	108450.0	16.11157215306593
SRR23969169	25.0	0.2	Free-living	45	5465484.0	80.03110063079501
SRR23969170	200.0	0.2	Free-living	300	1618364.0	2.0095602719783683
KJ_55_56	300.0	0.2	Free-living	300	704032.0	0.5758260988136903
SRR23969171	45.0	0.2	Free-living	45	3874055.0	71.96746045164562
SRR23969172	100.0	0.2	Free-living	150	2957816.0	48.32291799084189
KJ_52_53	300.0	1.2	Free-living	300	165133.0	0.9241036013395263
SRR23969173	100.0	0.2	Free-living	150	5651655.0	72.15330730555917
SRR23969174	100.0	0.2	Free-living	150	2419557.0	54.48150219234348
KJ_49_50	300.0	5.0	Particle-bound	300	71745.0	1.1526935674959926
SRR23969175	200.0	0.2	Free-living	300	926245.0	2.1439252033749168
SRR23969176	45.0	0.2	Free-living	45	5022918.0	82.57707969749855
KJ_46_47	300.0	20.0	Particle-bound	300	73885.0	1.9381471205251404
SRR23969177	100.0	0.2	Free-living	150	5605101.0	56.995422562412344
SRR23969178	45.0	0.2	Free-living	45	4674431.0	75.66923118557104
KJ_43_44	150.0	0.2	Free-living	150	1239555.0	23.014226879807673
SRR23969179	125.0	0.2	Free-living	150	5206800.0	78.7787316586003
SRR23969168	45.0	0.2	Free-living	45	5653425.0	79.83981391811159
SRR17827555	175.0	0.2	Free-living	300	4343857.0	3.0520341714747974
SRR23969167	5.0	0.2	Free-living	5	3864299.0	79.32895461764217
SRR23969166	25.0	0.2	Free-living	45	5500380.0	81.9501379904661
SRR15713231	150.0	20.0	Particle-bound	150	7494023.0	1.833541210108376
SRR23969155	45.0	0.2	Free-living	45	5945394.0	81.1965027044465
SRR23969156	5.0	0.2	Free-living	5	2434888.0	80.02754130785482
SRR15713229	150.0	20.0	Particle-bound	150	4867571.0	6.103906856212267
SRR23969157	125.0	0.2	Free-living	150	2067626.0	30.46547102812598
SRR23969158	75.0	0.2	Free-living	75	5768394.0	70.11870201654048
KJ_97_98	150.0	5.0	Particle-bound	150	136201.0	2.9845595847313895
SRR23969159	25.0	0.2	Free-living	45	4855793.0	75.09801179745511
SRR23969160	125.0	0.2	Free-living	150	2185194.0	35.523802463305316
KJ_94_95	150.0	20.0	Particle-bound	150	186806.0	4.094622228408081
SRR23969161	45.0	0.2	Free-living	45	6558710.0	75.55170147788208
SRR23969162	125.0	0.2	Free-living	150	3343555.0	50.72780319151322
KJ_70_71	5.0	20.0	Particle-bound	5	1681472.0	59.67556997678225
SRR23969163	25.0	0.2	Free-living	45	3461251.0	71.1833380474285
SRR23969164	125.0	0.2	Free-living	150	2764300.0	41.668776905545705
KJ_67_68	1000.0	0.2	Free-living	1000	506039.0	0.8331373668827897
SRR23969165	500.0	0.2	Free-living	1000	1906453.0	0.9692869428199907
KJ_64_65	1000.0	1.2	Free-living	1000	122171.0	1.2040500609801017
SRR23969180	25.0	0.2	Free-living	45	3562742.0	73.7370542127384
SRR17827659	770.0	0.2	Free-living	1000	2596055.0	0.8353443975570625
SRR17827557	1000.0	0.2	Free-living	1000	2933782.0	0.8267826307476152
SRR17827608	150.0	0.2	Free-living	150	1840806.0	10.352313062864853
SRR17827578	175.0	0.2	Free-living	300	3727270.0	4.7669205611613865
SRR17827610	200.0	0.2	Free-living	300	2258563.0	13.481846643197468
SRR17827611	150.0	0.2	Free-living	150	1114601.0	18.423094901224744
SRR17827577	770.0	0.2	Free-living	1000	2602083.0	1.2068792578868546
SRR17827612	500.0	0.2	Free-living	1000	2643403.0	1.0986595687452878
SRR17827613	200.0	0.2	Free-living	300	3353274.0	1.7991968446360185
SRR17827607	770.0	0.2	Free-living	1000	1512297.0	0.907030827939221
SRR17827576	770.0	0.2	Free-living	1000	3271609.0	0.7824284625699465
SRR17827615	770.0	0.2	Free-living	1000	3002056.0	0.7396597531824857
SRR17827575	200.0	0.2	Free-living	300	2114665.0	9.649849976237372
SRR17827616	150.0	0.2	Free-living	150	2471433.0	39.284617466870436
SRR17827617	1000.0	0.2	Free-living	1000	1717918.0	1.514740517300593
SRR17827574	175.0	0.2	Free-living	300	2268184.0	4.095787643330524
SRR17827618	1000.0	0.2	Free-living	1000	2616046.0	0.8171110141029629
SRR17827619	500.0	0.2	Free-living	1000	1709659.0	1.0494490421774167
SRR17827614	1000.0	0.2	Free-living	1000	2709575.0	0.8519417251783028
SRR17827579	770.0	0.2	Free-living	1000	1644930.0	0.8040463727939792
SRR17827606	770.0	0.2	Free-living	1000	3057927.0	1.5469303224046878
SRR17827603	150.0	0.2	Free-living	150	4272316.0	22.020725994987263
SRR17827590	1000.0	0.2	Free-living	1000	3340170.0	1.2346078193624874
SRR17827587	200.0	0.2	Free-living	300	2334431.0	7.137456622191875
SRR17827591	1000.0	0.2	Free-living	1000	1445163.0	1.034001008882735
SRR17827592	770.0	0.2	Free-living	1000	3521988.0	0.9725189296499591
SRR17827585	770.0	0.2	Free-living	1000	1410635.0	0.848554019998086
SRR17827593	770.0	0.2	Free-living	1000	3239807.0	0.9059798932467272
SRR17827594	500.0	0.2	Free-living	1000	1660710.0	1.1891901656520405
SRR17827584	1000.0	0.2	Free-living	1000	1615532.0	1.0538324217657093
SRR17827596	1000.0	0.2	Free-living	1000	2546632.0	0.8241473444141124
SRR17827597	1000.0	0.2	Free-living	1000	2744356.0	1.112829385108929
SRR17827583	770.0	0.2	Free-living	1000	2644218.0	0.9318823183262499
SRR17827598	200.0	0.2	Free-living	300	3227582.0	8.549558152201865
SRR17827599	770.0	0.2	Free-living	1000	3183834.0	0.7302516400038445
SRR17827581	500.0	0.2	Free-living	1000	1796344.0	1.1482210534285193
SRR17827600	150.0	0.2	Free-living	150	3848735.0	24.71024895192836
SRR17827601	770.0	0.2	Free-living	1000	1827235.0	1.2251845000779866
SRR17827580	770.0	0.2	Free-living	1000	2339495.0	0.804233392249182
SRR17827573	225.0	0.2	Free-living	300	1387728.0	1.585036837189997
SRR17827620	770.0	0.2	Free-living	1000	1909365.0	1.0438548941663852
SRR17827621	1000.0	0.2	Free-living	1000	2509466.0	0.9557411815900274
SRR17827572	770.0	0.2	Free-living	1000	2190038.0	0.7127273590686555
SRR17827641	250.0	0.2	Free-living	300	2701144.0	2.373920087192686
SRR17827644	500.0	0.2	Free-living	1000	1580276.0	0.9857138879537498
SRR17827563	770.0	0.2	Free-living	1000	3304521.0	0.9123561327042559
SRR17827645	200.0	0.2	Free-living	300	1456425.0	3.900166503596134
SRR17827646	250.0	0.2	Free-living	300	1616810.0	1.4583655469721242
SRR17827562	1000.0	0.2	Free-living	1000	2850479.0	0.9201611378298175
SRR17827647	150.0	0.2	Free-living	150	2129262.0	24.115491658612232
SRR17827649	770.0	0.2	Free-living	1000	2572502.0	0.8419818526866062
SRR17827561	150.0	0.2	Free-living	150	2327670.0	17.178637865333144
SRR17827650	1000.0	0.2	Free-living	1000	2991165.0	0.9800529225234984
SRR17827651	1000.0	0.2	Free-living	1000	2268837.0	0.9411870486949923
